ARI,STL
ARI,SF
ARI,SEA
ARI,PIT
ARI,PHI
ARI,DET
ARI,CLE
ARI,CHI
ATL,TEN
ATL,TB
ATL,SF
ATL,NYG
ATL,NO
ATL,JAX
ATL,DAL
ATL,CAR
BAL,SF
BAL,PIT
BAL,OAK
BAL,MIA
BAL,DEN
BAL,CLE
BAL,CIN
BAL,ARI
BUF,WAS
BUF,TEN
BUF,PHI
BUF,NYJ
BUF,NE
BUF,MIA
BUF,KC
BUF,JAX
BYE,WAS
BYE,TEN
BYE,TB
BYE,STL
BYE,SF
BYE,SEA
BYE,SD
BYE,PIT
BYE,PHI
BYE,OAK
BYE,NYJ
BYE,NYG
BYE,NO
BYE,NE
BYE,MIN
BYE,MIA
BYE,KC
BYE,JAX
BYE,IND
BYE,HOU
BYE,GB
BYE,DET
BYE,DEN
BYE,DAL
BYE,CLE
BYE,CIN
BYE,CHI
BYE,CAR
BYE,BUF
BYE,BAL
BYE,ATL
BYE,ARI
CAR,TEN
CAR,TB
CAR,SEA
CAR,NYG
CAR,NO
CAR,JAX
CAR,DAL
CAR,ATL
CHI,TB
CHI,STL
CHI,SEA
CHI,SD
CHI,MIN
CHI,KC
CHI,GB
CHI,DET
CIN,SF
CIN,PIT
CIN,OAK
CIN,DEN
CIN,CLE
CIN,BUF
CIN,BAL
CIN,ARI
CLE,STL
CLE,SEA
CLE,SD
CLE,PIT
CLE,NYJ
CLE,KC
CLE,CIN
CLE,BAL
DAL,WAS
DAL,TB
DAL,PHI
DAL,NYG
DAL,NO
DAL,MIA
DAL,GB
DAL,BUF
DEN,SD
DEN,PIT
DEN,OAK
DEN,KC
DEN,IND
DEN,DET
DEN,CLE
DEN,CHI
DET,STL
DET,SEA
DET,SD
DET,NO
DET,MIN
DET,KC
DET,GB
DET,CHI
GB,SF
GB,OAK
GB,MIN
GB,DET
GB,DEN
GB,CHI
GB,CAR
GB,ARI
HOU,TEN
HOU,MIA
HOU,JAX
HOU,IND
HOU,CIN
HOU,CAR
HOU,BUF
HOU,ATL
IND,TEN
IND,PIT
IND,MIA
IND,JAX
IND,HOU
IND,CAR
IND,BUF
IND,ATL
JAX,TEN
JAX,TB
JAX,NYJ
JAX,NO
JAX,NE
JAX,IND
JAX,HOU
JAX,BAL
KC,SD
KC,OAK
KC,MIN
KC,HOU
KC,GB
KC,DEN
KC,CIN
KC,BAL
MIA,WAS
MIA,TEN
MIA,SD
MIA,PHI
MIA,NYJ
MIA,NE
MIA,JAX
MIA,BUF
MIN,SF
MIN,OAK
MIN,GB
MIN,DET
MIN,DEN
MIN,CHI
MIN,ATL
MIN,ARI
NE,NYJ
NE,NYG
NE,MIA
NE,IND
NE,HOU
NE,DEN
NE,DAL
NE,BUF
NO,WAS
NO,TB
NO,PHI
NO,IND
NO,HOU
NO,CAR
NO,ATL
NO,ARI
NYG,WAS
NYG,TB
NYG,PHI
NYG,NO
NYG,MIN
NYG,MIA
NYG,DAL
NYG,BUF
NYJ,OAK
NYJ,NYG
NYJ,NE
NYJ,MIA
NYJ,IND
NYJ,HOU
NYJ,DAL
NYJ,BUF
OAK,TEN
OAK,SD
OAK,PIT
OAK,KC
OAK,DET
OAK,DEN
OAK,CLE
OAK,CHI
PHI,WAS
PHI,NYJ
PHI,NYG
PHI,NE
PHI,DET
PHI,DAL
PHI,CAR
PHI,ATL
PIT,STL
PIT,SEA
PIT,SD
PIT,NE
PIT,KC
PIT,CLE
PIT,CIN
PIT,BAL
SD,OAK
SD,MIN
SD,KC
SD,JAX
SD,GB
SD,DEN
SD,CIN
SD,BAL
SEA,STL
SEA,SF
SEA,MIN
SEA,GB
SEA,DAL
SEA,CIN
SEA,BAL
SEA,ARI
SF,STL
SF,SEA
SF,PIT
SF,NYG
SF,DET
SF,CLE
SF,CHI
SF,ARI
STL,WAS
STL,SF
STL,SEA
STL,MIN
STL,GB
STL,CIN
STL,BAL
STL,ARI
TB,WAS
TB,STL
TB,PHI
TB,NO
TB,IND
TB,HOU
TB,CAR
TB,ATL
TEN,TB
TEN,NYJ
TEN,NO
TEN,NE
TEN,JAX
TEN,IND
TEN,HOU
TEN,CLE
WAS,PHI
WAS,NYJ
WAS,NYG
WAS,NE
WAS,DAL
WAS,CHI
WAS,CAR
WAS,ATL
